"cell_idx","cell_id","study","n_rep","R_target","complete"
0,"00_main_n100_d50_scI_b0_eta0.2_a3_dm0_gibbs","main",200,200,TRUE
1,"01_main_n100_d50_scII_b0_eta0.2_a3_dm0_gibbs","main",200,200,TRUE
2,"02_main_n100_d50_scI_b2_eta0.2_a3_dm0_gibbs","main",200,200,TRUE
3,"03_main_n100_d50_scII_b2_eta0.2_a3_dm0_gibbs","main",200,200,TRUE
4,"04_main_n200_d50_scI_b0_eta0.2_a3_dm0_gibbs","main",200,200,TRUE
5,"05_main_n200_d50_scII_b0_eta0.2_a3_dm0_gibbs","main",200,200,TRUE
6,"06_main_n200_d50_scI_b2_eta0.2_a3_dm0_gibbs","main",200,200,TRUE
7,"07_main_n200_d50_scII_b2_eta0.2_a3_dm0_gibbs","main",200,200,TRUE
8,"08_S0_n100_d50_scIII_b0_eta0.2_a3_dm0_gibbs","S0",200,200,TRUE
9,"09_S0_n200_d50_scIII_b0_eta0.2_a3_dm0_gibbs","S0",200,200,TRUE
10,"10_S0_n100_d50_scIII_b2_eta0.2_a3_dm0_gibbs","S0",200,200,TRUE
11,"11_S0_n200_d50_scIII_b2_eta0.2_a3_dm0_gibbs","S0",200,200,TRUE
12,"12_S0_n100_d50_scIII_b0_eta0.2_a3_dm1_gibbs","S0",200,200,TRUE
13,"13_S0_n200_d50_scIII_b0_eta0.2_a3_dm1_gibbs","S0",200,200,TRUE
14,"14_S0_n100_d50_scIII_b2_eta0.2_a3_dm1_gibbs","S0",200,200,TRUE
15,"15_S0_n200_d50_scIII_b2_eta0.2_a3_dm1_gibbs","S0",200,200,TRUE
16,"16_S0_n100_d50_scIII_b0_eta0.2_a3_dm2_gibbs","S0",200,200,TRUE
17,"17_S0_n200_d50_scIII_b0_eta0.2_a3_dm2_gibbs","S0",200,200,TRUE
18,"18_S0_n100_d50_scIII_b2_eta0.2_a3_dm2_gibbs","S0",200,200,TRUE
19,"19_S0_n200_d50_scIII_b2_eta0.2_a3_dm2_gibbs","S0",200,200,TRUE
20,"20_S1_n100_d50_scI_b0_eta0.333_a3_dm0_gibbs","S1",200,200,TRUE
21,"21_S1_n100_d50_scI_b2_eta0.333_a3_dm0_gibbs","S1",200,200,TRUE
22,"22_S1_n100_d50_scI_b0_eta0.2_a3_dm0_gibbs","S1",200,200,TRUE
23,"23_S1_n100_d50_scI_b2_eta0.2_a3_dm0_gibbs","S1",200,200,TRUE
24,"24_S1_n100_d50_scI_b0_eta0.05_a3_dm0_gibbs","S1",200,200,TRUE
25,"25_S1_n100_d50_scI_b2_eta0.05_a3_dm0_gibbs","S1",200,200,TRUE
26,"26_S2_n100_d30_scI_b0_eta0.2_a3_dm0_gibbs","S2",200,200,TRUE
27,"27_S2_n100_d30_scI_b2_eta0.2_a3_dm0_gibbs","S2",200,200,TRUE
28,"28_S2_n100_d50_scI_b0_eta0.2_a3_dm0_gibbs","S2",200,200,TRUE
29,"29_S2_n100_d50_scI_b2_eta0.2_a3_dm0_gibbs","S2",200,200,TRUE
30,"30_S2_n100_d100_scI_b0_eta0.2_a3_dm0_gibbs","S2",200,200,TRUE
31,"31_S2_n100_d100_scI_b2_eta0.2_a3_dm0_gibbs","S2",200,200,TRUE
32,"32_S3_n100_d50_scI_b0_eta0.2_a1_dm0_gibbs","S3",200,200,TRUE
33,"33_S3_n100_d50_scI_b2_eta0.2_a1_dm0_gibbs","S3",200,200,TRUE
34,"34_S3_n100_d50_scI_b0_eta0.2_a3_dm0_gibbs","S3",200,200,TRUE
35,"35_S3_n100_d50_scI_b2_eta0.2_a3_dm0_gibbs","S3",200,200,TRUE
36,"36_S3_n100_d50_scI_b0_eta0.2_a5_dm0_gibbs","S3",200,200,TRUE
37,"37_S3_n100_d50_scI_b2_eta0.2_a5_dm0_gibbs","S3",200,200,TRUE
38,"38_S3_n100_d50_scI_b0_eta0.2_a10_dm0_gibbs","S3",200,200,TRUE
39,"39_S3_n100_d50_scI_b2_eta0.2_a10_dm0_gibbs","S3",200,200,TRUE
40,"40_GvMH_n100_d50_scI_b2_eta0.2_a3_dm0_gibbs","GvMH",200,200,TRUE
41,"41_GvMH_n100_d50_scI_b2_eta0.2_a3_dm0_mh","GvMH",200,200,TRUE
